Game,Year,NumberOfCountries,AttendingCountriesNOC,MaxMedalCountry,MaxMedalCount,RunnerUpMedalCountry,RunnerUpMedalCount,GameCountryNOC,City,Citylat,CityLon
1964 Winter,1964,94,"AFG, AHO, ALG, ARG, AUS, AUT, BAH, BEL, BER, BOL, BRA, BUL, CAM, CAN, CGO, CHA, CHI, CIV, CMR, COL, CRC, CUB, DEN, DOM, EGY, ESP, ETH, FIN, FRA, GBR, GER, GHA, GRE, GUY, HKG, HUN, IND, IRI, IRL, IRQ, ISL, ISR, ITA, JAM, JPN, KEN, KOR, LBR, LIB, LIE, LUX, MAD, MAR, MAS, MEX, MGL, MLI, MON, MYA, NED, NEP, NGR, NIG, NOR, NZL, PAK, PAN, PER, PHI, POL, POR, PRK, PUR, ROU, SEN, SRI, SUI, SWE, TAN, TCH, THA, TPE, TTO, TUN, TUR, UGA, URS, URU, USA, VEN, VNM, YUG, ZAM, ZIM",USA,96,HUN,42,AUT,Innsbruck,47.2692,11.4041
1968 Summer,1968,112,"AFG, AHO, ALG, ARG, AUS, AUT, BAH, BAR, BEL, BER, BIZ, BOL, BRA, BUL, CAF, CAN, CHA, CHI, CIV, CMR, COD, COL, CRC, CUB, DEN, DOM, ECU, EGY, ESA, ESP, ETH, FIJ, FIN, FRA, FRG, GBR, GDR, GHA, GRE, GUA, GUI, GUY, HKG, HON, HUN, INA, IND, IRI, IRL, IRQ, ISL, ISR, ISV, ITA, JAM, JPN, KEN, KOR, KUW, LBA, LIB, LIE, LUX, MAD, MAR, MAS, MEX, MGL, MLI, MLT, MON, MYA, NCA, NED, NGR, NIG, NOR, NZL, PAK, PAN, PAR, PER, PHI, POL, POR, PUR, ROU, SEN, SGP, SLE, SMR, SRI, SUD, SUI, SUR, SWE, SYR, TAN, TCH, THA, TPE, TTO, TUN, TUR, UGA, URS, URU, USA, VEN, VNM, YUG, ZAM",USA,100,HUN,32,MEX,Mexico City,19.4326,99.1332
1972 Summer,1972,121,"AFG, AHO, ALB, ALG, ARG, AUS, AUT, BAH, BAR, BEL, BEN, BER, BIZ, BOL, BRA, BUL, BUR, CAM, CAN, CGO, CHA, CHI, CIV, CMR, COL, CRC, CUB, DEN, DOM, ECU, EGY, ESA, ESP, ETH, FIJ, FIN, FRA, FRG, GAB, GBR, GDR, GHA, GRE, GUA, GUY, HAI, HKG, HUN, INA, IND, IRI, IRL, ISL, ISR, ISV, ITA, JAM, JPN, KEN, KOR, KSA, KUW, LBR, LES, LIB, LIE, LUX, MAD, MAR, MAS, MAW, MEX, MGL, MLI, MLT, MON, MYA, NCA, NED, NEP, NGR, NIG, NOR, NZL, PAK, PAN, PAR, PER, PHI, POL, POR, PRK, PUR, ROU, SEN, SGP, SMR, SOM, SRI, SUD, SUI, SUR, SWE, SWZ, SYR, TAN, TCH, THA, TOG, TPE, TTO, TUN, TUR, UGA, URS, URU, USA, VEN, VNM, YUG, ZAM",URS,143,USA,72,GER,Munich,48.1351,11.582
1976 Summer,1976,93,"AHO, AND, ANT, ARG, AUS, AUT, BAH, BAR, BEL, BER, BIZ, BOL, BRA, BUL, CAN, CAY, CHI, CIV, CMR, COL, CRC, CUB, DEN, DOM, ECU, EGY, ESP, FIJ, FIN, FRA, FRG, GBR, GDR, GRE, GUA, HAI, HKG, HON, HUN, INA, IND, IRI, IRL, ISL, ISR, ISV, ITA, JAM, JPN, KOR, KSA, KUW, LIB, LIE, LUX, MAR, MAS, MEX, MGL, MON, NCA, NED, NEP, NOR, NZL, PAK, PAN, PAR, PER, PHI, PNG, POL, POR, PRK, PUR, ROU, SEN, SGP, SMR, SUI, SUR, SWE, TCH, THA, TPE, TTO, TUN, TUR, URS, URU, USA, VEN, YUG",URS,152,GDR,114,CAN,Montreal,45.5017,73.5673
1980 Winter,1980,90,"AFG, ALG, AND, ANG, ARG, AUS, AUT, BEL, BEN, BOL, BOT, BRA, BUL, CAN, CGO, CHN, CMR, COL, CRC, CUB, CYP, DEN, DOM, ECU, ESP, ETH, FIN, FRA, FRG, GBR, GDR, GRE, GUA, GUI, GUY, HUN, IND, IRL, IRQ, ISL, ITA, JAM, JOR, JPN, KOR, KUW, LAO, LBA, LES, LIB, LIE, LUX, MAD, MEX, MGL, MLI, MLT, MOZ, MYA, NCA, NED, NEP, NGR, NOR, NZL, PER, POL, POR, PRK, PUR, ROU, SEN, SEY, SLE, SMR, SRI, SUI, SWE, SYR, TAN, TCH, TTO, UGA, URS, USA, VEN, VIE, YUG, ZAM, ZIM",URS,205,GDR,131,USA,LakePlacid,44.2795,73.9799
1984 Winter,1984,148,"AHO, ALG, AND, ANT, ARG, AUS, AUT, BAH, BAN, BAR, BEL, BEN, BER, BHU, BIZ, BOL, BOT, BRA, BRN, BUL, CAF, CAN, CAY, CGO, CHA, CHI, CHN, CIV, CMR, COD, COL, CRC, CYP, DEN, DJI, DOM, ECU, EGY, ESA, ESP, FIJ, FIN, FRA, FRG, GAB, GAM, GBR, GDR, GEQ, GHA, GRE, GRN, GUA, GUI, GUY, HAI, HKG, HON, HUN, INA, IND, IRL, IRQ, ISL, ISR, ISV, ITA, IVB, JAM, JOR, JPN, KEN, KOR, KSA, KUW, LBR, LES, LIB, LIE, LUX, MAD, MAR, MAS, MAW, MEX, MGL, MLI, MLT, MON, MOZ, MRI, MTN, MYA, NCA, NED, NEP, NGR, NIG, NOR, NZL, OMA, PAK, PAN, PAR, PER, PHI, PNG, POL, POR, PRK, PUR, QAT, ROU, RWA, SAM, SEN, SEY, SGP, SLE, SMR, SOL, SOM, SRI, SUD, SUI, SUR, SWE, SWZ, SYR, TAN, TCH, TGA, THA, TOG, TPE, TTO, TUN, TUR, UAE, UGA, URS, URU, USA, VEN, YAR, YUG, ZAM, ZIM",USA,190,YUG,47,YUG,Sarajevo,43.8563,18.4131
1988 Winter,1988,160,"AFG, AHO, ALG, AND, ANG, ANT, ARG, ARU, ASA, AUS, AUT, BAH, BAN, BAR, BEL, BEN, BER, BHU, BIZ, BOL, BOT, BRA, BRN, BUL, BUR, CAF, CAN, CAY, CGO, CHA, CHI, CHN, CIV, CMR, COD, COK, COL, CRC, CYP, DEN, DJI, DOM, ECU, EGY, ESA, ESP, FIJ, FIN, FRA, FRG, GAB, GAM, GBR, GDR, GEQ, GHA, GRE, GRN, GUA, GUI, GUM, GUY, HAI, HKG, HON, HUN, INA, IND, IRI, IRL, IRQ, ISL, ISR, ISV, ITA, IVB, JAM, JOR, JPN, KEN, KOR, KSA, KUW, LAO, LBA, LBR, LES, LIB, LIE, LUX, MAR, MAS, MAW, MDV, MEX, MGL, MLI, MLT, MON, MOZ, MRI, MTN, MYA, NED, NEP, NGR, NIG, NOR, NZL, OMA, PAK, PAN, PAR, PER, PHI, PNG, POL, POR, PRK, PUR, QAT, ROU, RWA, SAM, SEN, SGP, SLE, SMR, SOL, SOM, SRI, SUD, SUI, SUR, SWE, SWZ, SYR, TAN, TCH, TGA, THA, TOG, TPE, TTO, TUN, TUR, UAE, UGA, URS, URU, USA, VAN, VEN, VIE, VIN, YAR, YMD, YUG, ZAM, ZIM",URS,174,GDR,89,CAN,Alberta,53.9333,116.5765
1992 Summer,1992,170,"AHO, ALB, ALG, AND, ANG, ANT, ARG, ARU, ASA, AUS, AUT, BAH, BAN, BAR, BEL, BEN, BER, BHU, BIH, BIZ, BOL, BOT, BRA, BRN, BUL, BUR, CAF, CAN, CAY, CGO, CHA, CHI, CHN, CIV, CMR, COD, COK, COL, CRC, CRO, CUB, CYP, DEN, DJI, DOM, ECU, EGY, ESA, ESP, EST, ETH, EUN, FIJ, FIN, FRA, GAB, GAM, GBR, GEQ, GER, GHA, GRE, GRN, GUA, GUI, GUM, GUY, HAI, HKG, HON, HUN, INA, IND, IOA, IRI, IRL, IRQ, ISL, ISR, ISV, ITA, IVB, JAM, JOR, JPN, KEN, KOR, KSA, KUW, LAO, LAT, LBA, LES, LIB, LIE, LTU, LUX, MAD, MAR, MAS, MAW, MDV, MEX, MGL, MLI, MLT, MON, MOZ, MRI, MTN, MYA, NAM, NCA, NED, NEP, NGR, NIG, NOR, NZL, OMA, PAK, PAN, PAR, PER, PHI, PNG, POL, POR, PRK, PUR, QAT, ROU, RSA, RWA, SAM, SEN, SEY, SGP, SLE, SLO, SMR, SOL, SRI, SUD, SUI, SUR, SWE, SWZ, SYR, TAN, TCH, TGA, THA, TOG, TPE, TTO, TUN, TUR, UAE, UGA, URU, USA, VAN, VEN, VIE, VIN, YEM, YUG, ZAM, ZIM",EUN,127,GER,95,ESP,Barcelona,41.3851,2.1734
1994 Winter,1994,67,"AND, ARG, ARM, ASA, AUS, AUT, BEL, BER, BIH, BLR, BRA, BUL, CAN, CHI, CHN, CRO, CYP, CZE, DEN, ESP, EST, FIJ, FIN, FRA, GBR, GEO, GER, GRE, HUN, ISL, ISR, ISV, ITA, JAM, JPN, KAZ, KGZ, KOR, LAT, LIE, LTU, LUX, MDA, MEX, MGL, MON, NED, NOR, NZL, POL, POR, PUR, ROU, RSA, RUS, SEN, SLO, SMR, SUI, SVK, SWE, TPE, TTO, TUR, UKR, USA, UZB",SWE,23,GER,18,NOR,Lillehammer,61.1153,10.4662
1996 Summer,1996,197,"AFG, AHO, ALB, ALG, AND, ANG, ANT, ARG, ARM, ARU, ASA, AUS, AUT, AZE, BAH, BAN, BAR, BDI, BEL, BEN, BER, BHU, BIH, BIZ, BLR, BOL, BOT, BRA, BRN, BRU, BUL, BUR, CAF, CAM, CAN, CAY, CGO, CHA, CHI, CHN, CIV, CMR, COD, COK, COL, COM, CPV, CRC, CRO, CUB, CYP, CZE, DEN, DJI, DMA, DOM, ECU, EGY, ESA, ESP, EST, ETH, FIJ, FIN, FRA, GAB, GAM, GBR, GBS, GEO, GEQ, GER, GHA, GRE, GRN, GUA, GUI, GUM, GUY, HAI, HKG, HON, HUN, INA, IND, IRI, IRL, IRQ, ISL, ISR, ISV, ITA, IVB, JAM, JOR, JPN, KAZ, KEN, KGZ, KOR, KSA, KUW, LAO, LAT, LBA, LBR, LCA, LES, LIB, LIE, LTU, LUX, MAD, MAR, MAS, MAW, MDA, MDV, MEX, MGL, MKD, MLI, MLT, MON, MOZ, MRI, MTN, MYA, NAM, NCA, NED, NEP, NGR, NIG, NOR, NRU, NZL, OMA, PAK, PAN, PAR, PER, PHI, PLE, PNG, POL, POR, PRK, PUR, QAT, ROU, RSA, RUS, RWA, SAM, SCG, SEN, SEY, SGP, SKN, SLE, SLO, SMR, SOL, SOM, SRI, STP, SUD, SUI, SUR, SVK, SWE, SWZ, SYR, TAN, TGA, THA, TJK, TKM, TOG, TPE, TTO, TUN, TUR, UAE, UGA, UKR, URU, USA, UZB, VAN, VEN, VIE, VIN, YEM, ZAM, ZIM",USA,159,GER,42,USA,Atlanta,33.749,84.388
